class,label,precision,recall,f1_score,support
Apple___Apple_scab,Apple - Apple scab,0.9735,0.8016,0.8792,504
Apple___Black_rot,Apple - Black rot,0.9435,0.9738,0.9584,497
Apple___Cedar_apple_rust,Apple - Cedar apple rust,0.8816,0.9818,0.929,440
Apple___healthy,Apple - healthy,0.9823,0.8865,0.9319,502
Blueberry___healthy,Blueberry - healthy,0.8936,0.9802,0.9349,454
Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour) - Powdery mildew,0.9829,0.9572,0.9699,421
Cherry_(including_sour)___healthy,Cherry_(including_sour) - healthy,0.9699,0.989,0.9794,456
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize) - Cercospora leaf spot Gray leaf spot,0.8995,0.8512,0.8747,410
Corn_(maize)___Common_rust_,Corn_(maize) - Common rust,0.9463,0.9979,0.9714,477
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize) - Northern Leaf Blight,0.8845,0.8994,0.8919,477
Corn_(maize)___healthy,Corn_(maize) - healthy,0.9893,0.9978,0.9936,465
Grape___Black_rot,Grape - Black rot,0.9828,0.8453,0.9089,472
Grape___Esca_(Black_Measles),Grape - Esca (Black Measles),0.8247,0.9896,0.8996,480
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape - Leaf blight (Isariopsis Leaf Spot),0.9903,0.9535,0.9716,430
Grape___healthy,Grape - healthy,0.9854,0.9551,0.97,423
Orange___Haunglongbing_(Citrus_greening),Orange - Haunglongbing (Citrus greening),0.9242,0.994,0.9579,503
Peach___Bacterial_spot,Peach - Bacterial spot,0.8955,0.8584,0.8765,459
Peach___healthy,Peach - healthy,0.9047,0.9884,0.9447,432
"Pepper,_bell___Bacterial_spot","Pepper,_bell - Bacterial spot",0.8209,0.9205,0.8679,478
"Pepper,_bell___healthy","Pepper,_bell - healthy",0.8675,0.9356,0.9003,497
Potato___Early_blight,Potato - Early blight,0.9437,0.934,0.9389,485
Potato___Late_blight,Potato - Late blight,0.8145,0.9237,0.8657,485
Potato___healthy,Potato - healthy,0.9002,0.9101,0.9051,456
Raspberry___healthy,Raspberry - healthy,0.9929,0.9438,0.9677,445
Soybean___healthy,Soybean - healthy,0.9384,0.9347,0.9365,505
Squash___Powdery_mildew,Squash - Powdery mildew,0.9709,1.0,0.9852,434
Strawberry___Leaf_scorch,Strawberry - Leaf scorch,0.9475,0.9752,0.9612,444
Strawberry___healthy,Strawberry - healthy,0.9477,0.9934,0.97,456
Tomato___Bacterial_spot,Tomato - Bacterial spot,0.8447,0.8447,0.8447,425
Tomato___Early_blight,Tomato - Early blight,0.7788,0.6896,0.7315,480
Tomato___Late_blight,Tomato - Late blight,0.7109,0.7063,0.7086,463
Tomato___Leaf_Mold,Tomato - Leaf Mold,0.9404,0.7383,0.8272,470
Tomato___Septoria_leaf_spot,Tomato - Septoria leaf spot,0.7022,0.8005,0.7481,436
Tomato___Spider_mites Two-spotted_spider_mite,Tomato - Spider mites Two-spotted spider mite,0.6758,0.8483,0.7523,435
Tomato___Target_Spot,Tomato - Target Spot,0.9171,0.3632,0.5204,457
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato - Tomato Yellow Leaf Curl Virus,0.9313,0.9408,0.936,490
Tomato___Tomato_mosaic_virus,Tomato - Tomato mosaic virus,0.8769,0.9062,0.8913,448
Tomato___healthy,Tomato - healthy,0.9024,0.9231,0.9126,481
